trade_id,symbol,strategy_family,outcome,pnl_usd,close_timestamp_et,close_reason,max_tracked_pnl_usd,max_tracked_pips,max_rr_ratio,initial_sl_present,initial_tp_present,oco_placed,position_synced,position_sync_sl_present,trail_candidate_count,trail_current_sl_samples,locked_trail_samples,green_lock_events,trade_stop_update_events,stop_moved_events,any_trailing_or_lock_applied,secondary_failure_class,secondary_failure_detail,source_path
144733,EUR_USD,reversal,WIN,38.625,2026-04-09T05:19:12.273134-04:00,mid_exit,35.75,18.45,1.4643,True,True,True,True,True,443,443,37,5,0,0,True,winner_with_secondary_protection,Winning trade had SL/TP and some trailing or lock evidence.,/home/rfing/READ_ONLY_LEGACY/WSL_LEGACY_READ_ONLY/archived_20260530_oanda_legacy_batch1/RBOTZILLA_OANDA_LAB/logs/narration.jsonl
144698,USD_CAD,momentum_continuation,LOSS,-7.2533,2026-04-09T05:56:36.964337-04:00,mid_exit,10.9593,7.05,0.5875,True,True,True,True,True,1613,1613,0,0,0,0,False,edge_present_but_no_trailing_or_lock,"Trade reached about +$10.96, then closed at $-7.25; no green-lock, stop update, or locked trailing sample was logged.",/home/rfing/READ_ONLY_LEGACY/WSL_LEGACY_READ_ONLY/archived_20260530_oanda_legacy_batch1/RBOTZILLA_OANDA_LAB/logs/narration.jsonl
144689,NZD_USD,momentum_continuation,WIN,49.6438,2026-04-09T07:51:39.550213-04:00,mid_exit,51.4296,17.25,1.369,True,True,True,True,True,1987,1987,21,1,0,0,True,winner_with_secondary_protection,Winning trade had SL/TP and some trailing or lock evidence.,/home/rfing/READ_ONLY_LEGACY/WSL_LEGACY_READ_ONLY/archived_20260530_oanda_legacy_batch1/RBOTZILLA_OANDA_LAB/logs/narration.jsonl
144787,GBP_USD,momentum,LOSS,-98.4375,2026-04-09T10:33:40.291599-04:00,oco_sl,-5.4688,0.25,0.0198,True,True,True,True,True,137,137,0,0,0,0,False,small_pip_green_not_enough_for_lock,Trade only reached about +0.25 pips; likely below meaningful lock threshold.,/home/rfing/READ_ONLY_LEGACY/WSL_LEGACY_READ_ONLY/archived_20260530_oanda_legacy_batch1/RBOTZILLA_OANDA_LAB/logs/narration.jsonl
144934,USD_CHF,momentum,LOSS,-161.4356,2026-04-09T10:48:22.132602-04:00,oco_sl,-21.639,-1.45,-0.1151,True,True,True,True,True,37,37,0,0,0,0,False,entry_failed_before_secondary_could_help,"SL/TP and manager samples existed, but no favorable excursion was logged before the loss.",/home/rfing/READ_ONLY_LEGACY/WSL_LEGACY_READ_ONLY/archived_20260530_oanda_legacy_batch1/RBOTZILLA_OANDA_LAB/logs/narration.jsonl
144922,NZD_USD,reversal,LOSS,-225.0007,2026-04-09T11:33:00.110980-04:00,oco_sl,94.6432,6.45,0.5119,True,True,True,True,True,182,182,0,0,0,0,False,edge_present_but_no_trailing_or_lock,"Trade reached about +$94.64, then closed at $-225.00; no green-lock, stop update, or locked trailing sample was logged.",/home/rfing/READ_ONLY_LEGACY/WSL_LEGACY_READ_ONLY/archived_20260530_oanda_legacy_batch1/RBOTZILLA_OANDA_LAB/logs/narration.jsonl
145034,EUR_USD,momentum,WIN,135.1857,2026-04-09T12:24:35.998298-04:00,mid_exit,139.8154,16.9,1.3413,True,True,True,True,True,185,185,22,1,0,0,True,winner_with_secondary_protection,Winning trade had SL/TP and some trailing or lock evidence.,/home/rfing/READ_ONLY_LEGACY/WSL_LEGACY_READ_ONLY/archived_20260530_oanda_legacy_batch1/RBOTZILLA_OANDA_LAB/logs/narration.jsonl
145073,USD_CHF,momentum,WIN,166.646,2026-04-09T12:32:17.252481-04:00,mid_exit,180.5567,15.1,1.1984,True,True,True,True,True,172,172,7,1,0,0,True,winner_with_secondary_protection,Winning trade had SL/TP and some trailing or lock evidence.,/home/rfing/READ_ONLY_LEGACY/WSL_LEGACY_READ_ONLY/archived_20260530_oanda_legacy_batch1/RBOTZILLA_OANDA_LAB/logs/narration.jsonl
145104,EUR_USD,momentum_continuation,LOSS,-100.0004,2026-04-09T14:14:28.905162-04:00,oco_sl,81.4818,9.6,0.7619,True,True,True,True,True,328,328,0,0,0,0,False,edge_present_but_no_trailing_or_lock,"Trade reached about +$81.48, then closed at $-100.00; no green-lock, stop update, or locked trailing sample was logged.",/home/rfing/READ_ONLY_LEGACY/WSL_LEGACY_READ_ONLY/archived_20260530_oanda_legacy_batch1/RBOTZILLA_OANDA_LAB/logs/narration.jsonl
145124,USD_CAD,momentum_continuation,LOSS,-91.5963,2026-04-09T20:01:05.741971-04:00,oco_sl,20.8952,3.8,0.3016,True,True,True,True,True,1224,1224,0,0,0,0,False,edge_present_but_no_trailing_or_lock,"Trade reached about +$20.90, then closed at $-91.60; no green-lock, stop update, or locked trailing sample was logged.",/home/rfing/READ_ONLY_LEGACY/WSL_LEGACY_READ_ONLY/archived_20260530_oanda_legacy_batch1/RBOTZILLA_OANDA_LAB/logs/narration.jsonl
145082,AUD_USD,momentum_continuation,WIN,213.4931,2026-04-09T20:21:24.487324-04:00,mid_exit,231.7473,15.3,1.2143,True,True,True,True,True,1328,1328,15,1,0,0,True,winner_with_secondary_protection,Winning trade had SL/TP and some trailing or lock evidence.,/home/rfing/READ_ONLY_LEGACY/WSL_LEGACY_READ_ONLY/archived_20260530_oanda_legacy_batch1/RBOTZILLA_OANDA_LAB/logs/narration.jsonl
146377,EUR_USD,momentum,LOSS,-100.9264,2026-04-10T02:20:56.354653-04:00,oco_sl,0.9259,0.95,0.0754,True,True,True,True,True,469,469,0,0,0,0,False,small_green_not_enough_for_lock,Trade only reached about +$0.93; likely below meaningful lock threshold.,/home/rfing/READ_ONLY_LEGACY/WSL_LEGACY_READ_ONLY/archived_20260530_oanda_legacy_batch1/RBOTZILLA_OANDA_LAB/logs/narration.jsonl
146296,AUD_USD,momentum_continuation,LOSS,-173.0168,2026-04-10T02:56:39.770995-04:00,oco_sl,165.0802,11.05,0.877,True,True,True,True,True,1031,1031,0,0,0,0,False,edge_present_but_no_trailing_or_lock,"Trade reached about +$165.08, then closed at $-173.02; no green-lock, stop update, or locked trailing sample was logged.",/home/rfing/READ_ONLY_LEGACY/WSL_LEGACY_READ_ONLY/archived_20260530_oanda_legacy_batch1/RBOTZILLA_OANDA_LAB/logs/narration.jsonl
146305,USD_CAD,momentum_continuation,LOSS,-115.5001,2026-04-10T03:31:27.208872-04:00,oco_sl,-12.3616,-0.8,-0.0635,True,True,True,True,True,781,781,0,0,0,0,False,entry_failed_before_secondary_could_help,"SL/TP and manager samples existed, but no favorable excursion was logged before the loss.",/home/rfing/READ_ONLY_LEGACY/WSL_LEGACY_READ_ONLY/archived_20260530_oanda_legacy_batch1/RBOTZILLA_OANDA_LAB/logs/narration.jsonl
146524,AUD_USD,reversal,LOSS,-177.7787,2026-04-10T03:59:44.305496-04:00,oco_sl,17.4604,1.75,0.1389,True,True,True,True,True,78,78,0,0,0,0,False,edge_present_but_no_trailing_or_lock,"Trade reached about +$17.46, then closed at $-177.78; no green-lock, stop update, or locked trailing sample was logged.",/home/rfing/READ_ONLY_LEGACY/WSL_LEGACY_READ_ONLY/archived_20260530_oanda_legacy_batch1/RBOTZILLA_OANDA_LAB/logs/narration.jsonl
146552,USD_CAD,momentum_continuation,LOSS,-23.2398,2026-04-10T04:08:54.445157-04:00,mid_exit,-7.9899,-0.05,-0.004,True,True,True,True,True,54,54,0,0,0,0,False,entry_failed_before_secondary_could_help,"SL/TP and manager samples existed, but no favorable excursion was logged before the loss.",/home/rfing/READ_ONLY_LEGACY/WSL_LEGACY_READ_ONLY/archived_20260530_oanda_legacy_batch1/RBOTZILLA_OANDA_LAB/logs/narration.jsonl
146466,EUR_USD,reversal,WIN,22.2223,2026-04-10T04:09:12.727413-04:00,mid_exit,67.5929,7.85,0.623,True,True,True,True,True,132,132,0,0,0,0,False,winner_static_sl_tp_only,Winning trade had SL/TP but no logged trailing/green-lock engagement.,/home/rfing/READ_ONLY_LEGACY/WSL_LEGACY_READ_ONLY/archived_20260530_oanda_legacy_batch1/RBOTZILLA_OANDA_LAB/logs/narration.jsonl
146606,NZD_USD,reversal,WIN,133.929,2026-04-10T06:26:28.802782-04:00,mid_exit,123.2147,8.05,0.6389,True,True,True,True,True,226,226,0,0,0,0,False,winner_static_sl_tp_only,Winning trade had SL/TP but no logged trailing/green-lock engagement.,/home/rfing/READ_ONLY_LEGACY/WSL_LEGACY_READ_ONLY/archived_20260530_oanda_legacy_batch1/RBOTZILLA_OANDA_LAB/logs/narration.jsonl
146568,USD_JPY,momentum_continuation,LOSS,-71.3388,2026-04-10T06:54:22.587196-04:00,oco_sl,18.1102,3.65,0.2897,True,True,True,True,True,485,485,0,0,0,0,False,edge_present_but_no_trailing_or_lock,"Trade reached about +$18.11, then closed at $-71.34; no green-lock, stop update, or locked trailing sample was logged.",/home/rfing/READ_ONLY_LEGACY/WSL_LEGACY_READ_ONLY/archived_20260530_oanda_legacy_batch1/RBOTZILLA_OANDA_LAB/logs/narration.jsonl
146636,USD_CHF,momentum_continuation,WIN,162.9005,2026-04-10T08:37:12.864022-04:00,mid_exit,151.518,12.8,1.0159,True,True,True,True,True,217,217,0,0,0,0,False,winner_static_sl_tp_only,Winning trade had SL/TP but no logged trailing/green-lock engagement.,/home/rfing/READ_ONLY_LEGACY/WSL_LEGACY_READ_ONLY/archived_20260530_oanda_legacy_batch1/RBOTZILLA_OANDA_LAB/logs/narration.jsonl
