clean_for_strategy_mining,close_hour_et,close_reason,close_timestamp_et,close_timestamp_utc,close_venue,confidence_class,confidence_reason,direction,duplicate_source_count,duplicate_sources,entry_price,event_type,exit_profile,last_tracked_pips,last_tracked_pnl_usd,loss_diagnosis,loss_diagnosis_detail,max_rr_ratio,max_tracked_pips,max_tracked_pnl_usd,min_tracked_pips,min_tracked_pnl_usd,open_timestamp_et,outcome,pnl_usd,signal_confidence,signal_detectors,signal_session,signal_votes,source_line,source_path,source_repo,stop_loss,strategy_family,strategy_label,symbol,take_profit,timeframe,trade_id,trail_samples,units,workflow_profile
True,5,mid_exit,2026-04-09T05:19:12.273134-04:00,2026-04-09T09:19:12.273134+00:00,oanda,high_confidence_practice_receipt,closed trade linked to matching PRACTICE OCO order with live_api=true and visible_in_oanda=true,BUY,2,/home/rfing/READ_ONLY_LEGACY/RBOTZILLA_OANDA_CLEAN__pre_frozen_restore_20260415_094805/logs/narration.jsonl;/home/rfing/READ_ONLY_LEGACY/WSL_LEGACY_READ_ONLY/archived_20260530_oanda_legacy_batch1/RBOTZILLA_OANDA_LAB/logs/narration.jsonl,1.16576,TRADE_CLOSED,,17.75,21.25,not_a_loss,Winning or breakeven trade.,1.4643,18.45,35.75,-2.95,-9.5,2026-04-09T02:41:00.000361-04:00,WIN,38.625,0.7871,trap_reversal,unknown,0,201640,/home/rfing/READ_ONLY_LEGACY/WSL_LEGACY_READ_ONLY/archived_20260530_oanda_legacy_batch1/RBOTZILLA_OANDA_LAB/logs/narration.jsonl,WSL_LEGACY_READ_ONLY,1.16426,reversal,reversal,EUR_USD,1.16936,M15,144733,443,25000.0,
True,5,mid_exit,2026-04-09T05:56:36.964337-04:00,2026-04-09T09:56:36.964337+00:00,oanda,high_confidence_practice_receipt,closed trade linked to matching PRACTICE OCO order with live_api=true and visible_in_oanda=true,SELL,2,/home/rfing/READ_ONLY_LEGACY/RBOTZILLA_OANDA_CLEAN__pre_frozen_restore_20260415_094805/logs/narration.jsonl;/home/rfing/READ_ONLY_LEGACY/WSL_LEGACY_READ_ONLY/archived_20260530_oanda_legacy_batch1/RBOTZILLA_OANDA_LAB/logs/narration.jsonl,1.38536,TRADE_CLOSED,,-3.1,-7.072,edge_present_exit_or_workflow_gave_back,Trade reached about +$10.96 before closing at $-7.25; about $18.21 was given back.,0.5875,7.05,10.9593,-7.7,-15.7708,2026-04-08T20:53:33.749913-04:00,LOSS,-7.2533,0.8,trap_reversal;rsi_extreme,unknown,0,202113,/home/rfing/READ_ONLY_LEGACY/WSL_LEGACY_READ_ONLY/archived_20260530_oanda_legacy_batch1/RBOTZILLA_OANDA_LAB/logs/narration.jsonl,WSL_LEGACY_READ_ONLY,1.38686,momentum_continuation,Trend Continuation,USD_CAD,1.38236,M15,144698,1613,-25000.0,
True,7,mid_exit,2026-04-09T07:51:39.550213-04:00,2026-04-09T11:51:39.550213+00:00,oanda,high_confidence_practice_receipt,closed trade linked to matching PRACTICE OCO order with live_api=true and visible_in_oanda=true,BUY,2,/home/rfing/READ_ONLY_LEGACY/RBOTZILLA_OANDA_CLEAN__pre_frozen_restore_20260415_094805/logs/narration.jsonl;/home/rfing/READ_ONLY_LEGACY/WSL_LEGACY_READ_ONLY/archived_20260530_oanda_legacy_batch1/RBOTZILLA_OANDA_LAB/logs/narration.jsonl,0.58231,TRADE_CLOSED,,14.7,23.9297,not_a_loss,Winning or breakeven trade.,1.369,17.25,51.4296,-1.8,-10.7145,2026-04-08T20:51:48.244670-04:00,WIN,49.6438,0.83,trap_reversal,unknown,0,203383,/home/rfing/READ_ONLY_LEGACY/WSL_LEGACY_READ_ONLY/archived_20260530_oanda_legacy_batch1/RBOTZILLA_OANDA_LAB/logs/narration.jsonl,WSL_LEGACY_READ_ONLY,0.58081,momentum_continuation,Trend Continuation,NZD_USD,0.58531,M15,144689,1987,35715.0,
True,10,oco_sl,2026-04-09T10:33:40.291599-04:00,2026-04-09T14:33:40.291599+00:00,oanda,high_confidence_practice_receipt,closed trade linked to matching PRACTICE OCO order with live_api=true and visible_in_oanda=true,BUY,2,/home/rfing/READ_ONLY_LEGACY/RBOTZILLA_OANDA_CLEAN__pre_frozen_restore_20260415_094805/logs/narration.jsonl;/home/rfing/READ_ONLY_LEGACY/WSL_LEGACY_READ_ONLY/archived_20260530_oanda_legacy_batch1/RBOTZILLA_OANDA_LAB/logs/narration.jsonl,1.34269,TRADE_CLOSED,,-10.65,-90.625,quality_gate_too_weak,"Signal quality was thin: confidence=0.88, votes=0.",0.0198,0.25,-5.4688,-10.9,-92.1875,2026-04-09T09:41:09.575141-04:00,LOSS,-98.4375,0.88,momentum_sma;ema_stack;fibonacci,Momentum [M15],0,207105,/home/rfing/READ_ONLY_LEGACY/WSL_LEGACY_READ_ONLY/archived_20260530_oanda_legacy_batch1/RBOTZILLA_OANDA_LAB/logs/narration.jsonl,WSL_LEGACY_READ_ONLY,1.34143,momentum,momentum,GBP_USD,1.34453,M15+H4+D1,144787,137,78125.0,
True,10,oco_sl,2026-04-09T10:48:22.132602-04:00,2026-04-09T14:48:22.132602+00:00,oanda,high_confidence_practice_receipt,closed trade linked to matching PRACTICE OCO order with live_api=true and visible_in_oanda=true,SELL,2,/home/rfing/READ_ONLY_LEGACY/RBOTZILLA_OANDA_CLEAN__pre_frozen_restore_20260415_094805/logs/narration.jsonl;/home/rfing/READ_ONLY_LEGACY/WSL_LEGACY_READ_ONLY/archived_20260530_oanda_legacy_batch1/RBOTZILLA_OANDA_LAB/logs/narration.jsonl,0.78953,TRADE_CLOSED,,-10.7,-146.2012,quality_gate_too_weak,"Signal quality was thin: confidence=0.78, votes=0.",-0.1151,-1.45,-21.639,-10.7,-146.2012,2026-04-09T10:33:39.465226-04:00,LOSS,-161.4356,0.78,ema_stack;fibonacci,Momentum [M15],0,207427,/home/rfing/READ_ONLY_LEGACY/WSL_LEGACY_READ_ONLY/archived_20260530_oanda_legacy_batch1/RBOTZILLA_OANDA_LAB/logs/narration.jsonl,WSL_LEGACY_READ_ONLY,0.79079,momentum,momentum,USD_CHF,0.78769,M15+H4+D1,144934,37,-100000.0,
True,11,oco_sl,2026-04-09T11:33:00.110980-04:00,2026-04-09T15:33:00.110980+00:00,oanda,high_confidence_practice_receipt,closed trade linked to matching PRACTICE OCO order with live_api=true and visible_in_oanda=true,SELL,2,/home/rfing/READ_ONLY_LEGACY/RBOTZILLA_OANDA_CLEAN__pre_frozen_restore_20260415_094805/logs/narration.jsonl;/home/rfing/READ_ONLY_LEGACY/WSL_LEGACY_READ_ONLY/archived_20260530_oanda_legacy_batch1/RBOTZILLA_OANDA_LAB/logs/narration.jsonl,0.58492,TRADE_CLOSED,,-8.45,-173.2148,edge_present_exit_or_workflow_gave_back,Trade reached about +$94.64 before closing at $-225.00; about $319.64 was given back.,0.5119,6.45,94.6432,-9.1,-183.9292,2026-04-09T10:27:43.343104-04:00,LOSS,-225.0007,0.8,trap_reversal;liq_sweep;rsi_extreme,Reversal [M15],0,208234,/home/rfing/READ_ONLY_LEGACY/WSL_LEGACY_READ_ONLY/archived_20260530_oanda_legacy_batch1/RBOTZILLA_OANDA_LAB/logs/narration.jsonl,WSL_LEGACY_READ_ONLY,0.58618,reversal,reversal,NZD_USD,0.58366,M15,144922,182,-178572.0,
True,12,mid_exit,2026-04-09T12:24:35.998298-04:00,2026-04-09T16:24:35.998298+00:00,oanda,high_confidence_practice_receipt,closed trade linked to matching PRACTICE OCO order with live_api=true and visible_in_oanda=true,BUY,2,/home/rfing/READ_ONLY_LEGACY/RBOTZILLA_OANDA_CLEAN__pre_frozen_restore_20260415_094805/logs/narration.jsonl;/home/rfing/READ_ONLY_LEGACY/WSL_LEGACY_READ_ONLY/archived_20260530_oanda_legacy_batch1/RBOTZILLA_OANDA_LAB/logs/narration.jsonl,1.1696,TRADE_CLOSED,,15.0,65.7417,not_a_loss,Winning or breakeven trade.,1.3413,16.9,139.8154,-2.75,-32.4076,2026-04-09T11:20:41.940080-04:00,WIN,135.1857,0.78,ema_stack;fibonacci,Momentum [M15],0,209034,/home/rfing/READ_ONLY_LEGACY/WSL_LEGACY_READ_ONLY/archived_20260530_oanda_legacy_batch1/RBOTZILLA_OANDA_LAB/logs/narration.jsonl,WSL_LEGACY_READ_ONLY,1.16834,momentum,momentum,EUR_USD,1.17144,M15+H4+D1,145034,185,92593.0,
True,12,mid_exit,2026-04-09T12:32:17.252481-04:00,2026-04-09T16:32:17.252481+00:00,oanda,high_confidence_practice_receipt,closed trade linked to matching PRACTICE OCO order with live_api=true and visible_in_oanda=true,SELL,2,/home/rfing/READ_ONLY_LEGACY/RBOTZILLA_OANDA_CLEAN__pre_frozen_restore_20260415_094805/logs/narration.jsonl;/home/rfing/READ_ONLY_LEGACY/WSL_LEGACY_READ_ONLY/archived_20260530_oanda_legacy_batch1/RBOTZILLA_OANDA_LAB/logs/narration.jsonl,0.78964,TRADE_CLOSED,,13.2,78.2645,not_a_loss,Winning or breakeven trade.,1.1984,15.1,180.5567,-0.85,-22.9093,2026-04-09T11:33:59.650965-04:00,WIN,166.646,0.78,ema_stack;fibonacci,Momentum [M15],0,209161,/home/rfing/READ_ONLY_LEGACY/WSL_LEGACY_READ_ONLY/archived_20260530_oanda_legacy_batch1/RBOTZILLA_OANDA_LAB/logs/narration.jsonl,WSL_LEGACY_READ_ONLY,0.7909,momentum,momentum,USD_CHF,0.7878,M15+H4+D1,145073,172,-100000.0,
True,14,oco_sl,2026-04-09T14:14:28.905162-04:00,2026-04-09T18:14:28.905162+00:00,oanda,high_confidence_practice_receipt,closed trade linked to matching PRACTICE OCO order with live_api=true and visible_in_oanda=true,BUY,2,/home/rfing/READ_ONLY_LEGACY/RBOTZILLA_OANDA_CLEAN__pre_frozen_restore_20260415_094805/logs/narration.jsonl;/home/rfing/READ_ONLY_LEGACY/WSL_LEGACY_READ_ONLY/archived_20260530_oanda_legacy_batch1/RBOTZILLA_OANDA_LAB/logs/narration.jsonl,1.17125,TRADE_CLOSED,,-9.35,-93.5189,edge_present_exit_or_workflow_gave_back,Trade reached about +$81.48 before closing at $-100.00; about $181.48 was given back.,0.7619,9.6,81.4818,-9.35,-93.5189,2026-04-09T12:24:34.823143-04:00,LOSS,-100.0004,0.78,momentum_sma;ema_stack;fibonacci,unknown,0,210955,/home/rfing/READ_ONLY_LEGACY/WSL_LEGACY_READ_ONLY/archived_20260530_oanda_legacy_batch1/RBOTZILLA_OANDA_LAB/logs/narration.jsonl,WSL_LEGACY_READ_ONLY,1.16975,momentum_continuation,Trend Continuation,EUR_USD,1.17309,M15,145104,328,92593.0,
True,20,oco_sl,2026-04-09T20:01:05.741971-04:00,2026-04-10T00:01:05.741971+00:00,oanda,high_confidence_practice_receipt,closed trade linked to matching PRACTICE OCO order with live_api=true and visible_in_oanda=true,SELL,2,/home/rfing/READ_ONLY_LEGACY/RBOTZILLA_OANDA_CLEAN__pre_frozen_restore_20260415_094805/logs/narration.jsonl;/home/rfing/READ_ONLY_LEGACY/WSL_LEGACY_READ_ONLY/archived_20260530_oanda_legacy_batch1/RBOTZILLA_OANDA_LAB/logs/narration.jsonl,1.38142,TRADE_CLOSED,,-10.75,-85.7859,edge_present_exit_or_workflow_gave_back,Trade reached about +$20.90 before closing at $-91.60; about $112.49 was given back.,0.3016,3.8,20.8952,-11.4,-90.1437,2026-04-09T12:37:34.204554-04:00,LOSS,-91.5963,0.78,ema_stack;fibonacci,unknown,0,218267,/home/rfing/READ_ONLY_LEGACY/WSL_LEGACY_READ_ONLY/archived_20260530_oanda_legacy_batch1/RBOTZILLA_OANDA_LAB/logs/narration.jsonl,WSL_LEGACY_READ_ONLY,1.38292,momentum_continuation,Trend Continuation,USD_CAD,1.37958,M15,145124,1224,-100000.0,
True,20,mid_exit,2026-04-09T20:21:24.487324-04:00,2026-04-10T00:21:24.487324+00:00,oanda,high_confidence_practice_receipt,closed trade linked to matching PRACTICE OCO order with live_api=true and visible_in_oanda=true,SELL,2,/home/rfing/READ_ONLY_LEGACY/RBOTZILLA_OANDA_CLEAN__pre_frozen_restore_20260415_094805/logs/narration.jsonl;/home/rfing/READ_ONLY_LEGACY/WSL_LEGACY_READ_ONLY/archived_20260530_oanda_legacy_batch1/RBOTZILLA_OANDA_LAB/logs/narration.jsonl,0.70864,TRADE_CLOSED,,13.45,100.0012,not_a_loss,Winning or breakeven trade.,1.2143,15.3,231.7473,-9.0,-153.9691,2026-04-09T12:14:24.600554-04:00,WIN,213.4931,0.83,trap_reversal;rsi_extreme,unknown,0,218511,/home/rfing/READ_ONLY_LEGACY/WSL_LEGACY_READ_ONLY/archived_20260530_oanda_legacy_batch1/RBOTZILLA_OANDA_LAB/logs/narration.jsonl,WSL_LEGACY_READ_ONLY,0.71014,momentum_continuation,Trend Continuation,AUD_USD,0.70714,M15,145082,1328,-158731.0,
True,2,oco_sl,2026-04-10T02:20:56.354653-04:00,2026-04-10T06:20:56.354653+00:00,oanda,high_confidence_practice_receipt,closed trade linked to matching PRACTICE OCO order with live_api=true and visible_in_oanda=true,BUY,2,/home/rfing/READ_ONLY_LEGACY/RBOTZILLA_OANDA_CLEAN__pre_frozen_restore_20260415_094805/logs/narration.jsonl;/home/rfing/READ_ONLY_LEGACY/WSL_LEGACY_READ_ONLY/archived_20260530_oanda_legacy_batch1/RBOTZILLA_OANDA_LAB/logs/narration.jsonl,1.168555,TRADE_CLOSED,,-10.15,-100.9264,small_edge_then_noise_loss,Trade had only a small favorable excursion of about +$0.93; edge was not strong enough before the loss.,0.0754,0.95,0.9259,-10.15,-100.9264,2026-04-10T02:20:16.609918-04:00,LOSS,-100.9264,0.8,ema_stack;fibonacci,unknown,0,224596,/home/rfing/READ_ONLY_LEGACY/WSL_LEGACY_READ_ONLY/archived_20260530_oanda_legacy_batch1/RBOTZILLA_OANDA_LAB/logs/narration.jsonl,WSL_LEGACY_READ_ONLY,1.16982,momentum,momentum,EUR_USD,1.16705,M15+H4+D1,146377,469,-92593.0,
True,2,oco_sl,2026-04-10T02:56:39.770995-04:00,2026-04-10T06:56:39.770995+00:00,oanda,high_confidence_practice_receipt,closed trade linked to matching PRACTICE OCO order with live_api=true and visible_in_oanda=true,BUY,2,/home/rfing/READ_ONLY_LEGACY/RBOTZILLA_OANDA_CLEAN__pre_frozen_restore_20260415_094805/logs/narration.jsonl;/home/rfing/READ_ONLY_LEGACY/WSL_LEGACY_READ_ONLY/archived_20260530_oanda_legacy_batch1/RBOTZILLA_OANDA_LAB/logs/narration.jsonl,0.706195,TRADE_CLOSED,,-10.25,-173.0168,edge_present_exit_or_workflow_gave_back,Trade reached about +$165.08 before closing at $-173.02; about $338.10 was given back.,0.877,11.05,165.0802,-10.25,-173.0168,2026-04-10T02:56:04.921369-04:00,LOSS,-173.0168,0.7578,trap_reversal;rsi_extreme,unknown,0,225285,/home/rfing/READ_ONLY_LEGACY/WSL_LEGACY_READ_ONLY/archived_20260530_oanda_legacy_batch1/RBOTZILLA_OANDA_LAB/logs/narration.jsonl,WSL_LEGACY_READ_ONLY,0.70746,momentum_continuation,Trend Continuation,AUD_USD,0.7047,M15,146296,1031,-158731.0,
