archive_export_id,archive_sha256_prefix,archive_sha256,canonical_archive_path,title,member,format,chars,trading_relevance,relevance_hits,numeric_hits,read_error
1901616476,8f193f490a48,8f193f490a48fce8463db0a627d03a82b75d48f9e18a76cb15cfe9faff22aeaf,/home/rfing/READ_ONLY_LEGACY/TurboScribe Export 1901616476.zip,How to use Claude To Gain a Huge Day Trading Edge,How to use Claude To Gain a Huge Day Trading Edge.txt,txt,38078,trading_candidate,trade;trading,10 hours;10 minutes;15 minutes;20 minutes;30 minute;30 minutes;60 minutes;90 minutes;daily;weekly,
1901616476,8f193f490a48,8f193f490a48fce8463db0a627d03a82b75d48f9e18a76cb15cfe9faff22aeaf,/home/rfing/READ_ONLY_LEGACY/TurboScribe Export 1901616476.zip,Step-by-Step Tutorial to Make Consistent Daily Profits in 2026,Step-by-Step Tutorial to Make Consistent Daily Profits in 2026.txt,txt,32501,trading_candidate,ema;order;scalp;scalping;sma;trade;trading,2 to 1;3 to 1;30 minutes;4 to 1;9 ema;9ema;daily,
2465927669,4228f0b0a162,4228f0b0a162640bea1d16c30e963e9f6373ea2a3be5af5bbca1f74144ec88cd,/home/rfing/READ_ONLY_LEGACY/WSL_LEGACY_READ_ONLY/archived_20260530_oanda_legacy_batch2/RBOTZILLA_PHOENIX/dec4_dec10/TurboScribe Export 2465927669.zip,ChatGPT Trading Strategy Made 19527% Profit ( FULL TUTORIAL ),ChatGPT Trading Strategy Made 19527% Profit ( FULL TUTORIAL ).txt,txt,7166,trading_candidate,moving average;strategy;technical analysis;trading,200 ema;3-minute,
2465927669,4228f0b0a162,4228f0b0a162640bea1d16c30e963e9f6373ea2a3be5af5bbca1f74144ec88cd,/home/rfing/READ_ONLY_LEGACY/WSL_LEGACY_READ_ONLY/archived_20260530_oanda_legacy_batch2/RBOTZILLA_PHOENIX/dec4_dec10/TurboScribe Export 2465927669.zip,Forex trading Strategy 100% winning trades!! WIN every trade you take!!!,Forex trading Strategy 100% winning trades!! WIN every trade you take!!!.txt,txt,11998,trading_candidate,forex;order;strategy;trade;trading,10 pips;20 pips;24 pips;3 to 1;4 pips;5 hours;50 pips;60 pips;8 pips;80 pips,
2465927669,4228f0b0a162,4228f0b0a162640bea1d16c30e963e9f6373ea2a3be5af5bbca1f74144ec88cd,/home/rfing/READ_ONLY_LEGACY/WSL_LEGACY_READ_ONLY/archived_20260530_oanda_legacy_batch2/RBOTZILLA_PHOENIX/dec4_dec10/TurboScribe Export 2465927669.zip,"How I Made $1,000,000 in 51 Days of Day Trading (Full Training)","How I Made $1,000,000 in 51 Days of Day Trading (Full Training).txt",txt,101333,trading_candidate,sma;strategy;trade;trading,1 to 1;10 minutes;10 to 1;12 hours;15 minute;2 to 1;20 minutes;3 to 1;30 minutes;5 to 1;daily,
2465927669,4228f0b0a162,4228f0b0a162640bea1d16c30e963e9f6373ea2a3be5af5bbca1f74144ec88cd,/home/rfing/READ_ONLY_LEGACY/WSL_LEGACY_READ_ONLY/archived_20260530_oanda_legacy_batch2/RBOTZILLA_PHOENIX/dec4_dec10/TurboScribe Export 2465927669.zip,"How I Make $1,000Day with ONE Simple Strategy [100x Trading Tutorial]","How I Make $1,000Day with ONE Simple Strategy [100x Trading Tutorial].txt",txt,28264,trading_candidate,demand;ema;strategy;supply;trade;trading,daily,
2465927669,4228f0b0a162,4228f0b0a162640bea1d16c30e963e9f6373ea2a3be5af5bbca1f74144ec88cd,/home/rfing/READ_ONLY_LEGACY/WSL_LEGACY_READ_ONLY/archived_20260530_oanda_legacy_batch2/RBOTZILLA_PHOENIX/dec4_dec10/TurboScribe Export 2465927669.zip,How Liquidity and Manipulations Work,How Liquidity and Manipulations Work.txt,txt,9068,trading_candidate,liquidity;order;sma;trade;volume,,
2465927669,4228f0b0a162,4228f0b0a162640bea1d16c30e963e9f6373ea2a3be5af5bbca1f74144ec88cd,/home/rfing/READ_ONLY_LEGACY/WSL_LEGACY_READ_ONLY/archived_20260530_oanda_legacy_batch2/RBOTZILLA_PHOENIX/dec4_dec10/TurboScribe Export 2465927669.zip,"How do ( FVG, OB, RB ) work","How do ( FVG, OB, RB ) work.txt",txt,14588,trading_candidate,fvg;liquidity;order;strategy;volume,,
2465927669,4228f0b0a162,4228f0b0a162640bea1d16c30e963e9f6373ea2a3be5af5bbca1f74144ec88cd,/home/rfing/READ_ONLY_LEGACY/WSL_LEGACY_READ_ONLY/archived_20260530_oanda_legacy_batch2/RBOTZILLA_PHOENIX/dec4_dec10/TurboScribe Export 2465927669.zip,My Simple 5 Minute Scalping Strategy (Rules Based),My Simple 5 Minute Scalping Strategy (Rules Based).txt,txt,20969,trading_candidate,scalp;scalping;strategy;trade;trading,15 minute;90 minutes;92 minutes;daily,
2465927669,4228f0b0a162,4228f0b0a162640bea1d16c30e963e9f6373ea2a3be5af5bbca1f74144ec88cd,/home/rfing/READ_ONLY_LEGACY/WSL_LEGACY_READ_ONLY/archived_20260530_oanda_legacy_batch2/RBOTZILLA_PHOENIX/dec4_dec10/TurboScribe Export 2465927669.zip,"This Trading Strategy is Boring, but Made Me My First $100,000","This Trading Strategy is Boring, but Made Me My First $100,000.txt",txt,27501,trading_candidate,order;range;strategy;trade;trading,15 minute;30 minute;daily;weekly,
2971328458,e0b936ecc18d,e0b936ecc18d9640ef17ac76d9eafa5344cbdf129e7d408f6853ae1d12b27a50,/home/rfing/READ_ONLY_LEGACY/WSL_LEGACY_READ_ONLY/archived_20260530_oanda_legacy_batch1/RBOTZILLA_OANDA_LAB/TurboScribe Export 2971328458.zip,"Build Anything with Grok 3, Here's How","Build Anything with Grok 3, Here's How.txt",txt,31845,low_or_none,,,
2971328458,e0b936ecc18d,e0b936ecc18d9640ef17ac76d9eafa5344cbdf129e7d408f6853ae1d12b27a50,/home/rfing/READ_ONLY_LEGACY/WSL_LEGACY_READ_ONLY/archived_20260530_oanda_legacy_batch1/RBOTZILLA_OANDA_LAB/TurboScribe Export 2971328458.zip,Can I remake those SHTTY mobile games in 1 HOUR,Can I remake those SHTTY mobile games in 1 HOUR.txt,txt,21466,trading_candidate,ema,10 minutes;20 minutes;23 minutes;24 hours;24 minutes;40 minutes;60 minutes,
2971328458,e0b936ecc18d,e0b936ecc18d9640ef17ac76d9eafa5344cbdf129e7d408f6853ae1d12b27a50,/home/rfing/READ_ONLY_LEGACY/WSL_LEGACY_READ_ONLY/archived_20260530_oanda_legacy_batch1/RBOTZILLA_OANDA_LAB/TurboScribe Export 2971328458.zip,How To Trade Futures For Beginners The Basics of Futures Trading [Class 1],How To Trade Futures For Beginners  The Basics of Futures Trading [Class 1].txt,txt,30683,trading_candidate,ema;trade;trading,,
